authorID,name,location,reviewCount,friendCount,photoCount
CxxPUsjExKIQWu7I_XTJug,Jennifer G.,"Chicago, IL",301,23,2
NtKMJdSUQf8yYy6SgC4EdA,Umair H.,"Chicago, IL",131,177,296
UaYt0eucRm2W51qbwP42tA,Nikki W.,"Brooklyn, NY",10,23,17
W-aitsl0gXGHxf0fiU7olQ,Mi S.,"Chicago, IL",17,0,20
ViBTRrD0xa9mfPXUNbDL8g,Miss A.,"Chicago, IL",26,3,67
DqJVvwL0DRc3i-jjXCTakw,Narwhal C.,"Villa Park, IL",5,0,0
FGmhbD30GmemCcMcMx82DA,N J.,"Royal Oak, MI",16,28,16
4jPsIgMZT4_Ks5-myaW9Bg,Edna C.,"San Francisco, CA",907,933,2896
4u_09BoBw8hR9i3yMNF3XQ,Cheryl W.,"Chicago, IL",156,73,172
Tyb_FnUv3L0LqsYyL8FIAQ,Elvi T.,"San Francisco, CA",573,1118,1117
pfLbnuY7SAacCKH-6jd-Dw,Nichole X.,"Chicago, IL",88,328,192
eJz_ij0PghOZnvCR084C5w,Kevin N.,"Forest Park, IL",76,10,129
hxobJYQH1vO7wRvYVs05Ww,Sallie ..,"Chicago, IL",26,97,1115
HQJ-OdQBmMHeF6xiqYpUoQ,Meredith K.,"Chicago, IL",483,67,0
r6UC-kgRq1UQds52ByASGg,Jackie C.,"Chicago, IL",553,154,116
HpavJwxvoBmG3OTAXZo4GQ,Andrew M.,"Chicago, IL",73,224,153
CSVBWd3SOKMpFQcpgvCpWw,Emily Y.,"New Haven, CT",44,264,17
ttc3_AtKQzrFlFdfsS0-zg,Vincent Y.,"Barberton, OH",89,2,70
3pu410Sc-05F4uFh417XqQ,Jackie H.,"Chicago, IL",53,224,22
xFecfpI9Klvgrrre0W6BtQ,Tommy O.,"Chicago, IL",86,106,67
R5WcogaoAwjdHxrB2v5NsQ,Bonnie E.,"Phoenix, AZ",434,308,3665
vcs38G41GooTSeBgAen0Ng,Kathleen S.,"Highland, IN",78,110,67
0QCgXBPnmx1bz9pLjRGUVg,Christina K.,"Westwood, NJ",42,8,35
MEyaPDowoFZH7gcU6vIg_w,Tatiana M.,"Chicago, IL",60,61,72
hdt5iEJpBPL0UhA5ULHpNQ,Celena C.,"Chicago, IL",57,596,92
l1zPZ0XtTESfcQ24v-ZS1A,Steve R.,"Arlington Heights, IL",186,73,53
HUWPfofYNyttE2NqxAxJlQ,Belle L.,"Chicago, IL",871,94,2181
ds-C9AXGATTmvsCEWCqmZg,Alex C.,"Orland Park, IL",311,98,120
I9PpxV1JrGATW-u3gew3Ew,Will S.,"Omaha, NE",943,2534,6259
lZx_XOuL5wACxaNtby4JEA,Francis R.,"Chicago, IL",746,783,1095
onY0SO_5Zl0IjO6R4-SVrQ,Jean L.,"Chicago, IL",716,442,1142
QnIrewrXxFnssw_gG1gF-Q,Sarah S.,"Chicago, IL",2469,4474,15545
Ba4teI97GGKyYo6jNL2KFA,Michele D.,"Chicago, IL",55,27,29
MvgEGMQ3kSI_LjmhqYYAFg,Allie B.,"Chicago, IL",267,1146,487
G_G5T6xvgauhGZxZM-vAbA,Tanya G.,"Chicago, IL",12,11,43
MO3LMWe_h7SrR8aTm9xuww,Hailey B.,"Yuma, AZ",90,210,30
cKlCFFpCvjcMH6DCvebUBg,Janet C.,"Chicago, IL",44,62,6
E0jV6XqQCmIqsgAsn1wBrw,Amoli P.,"Chicago, IL",290,75,237
YZ7WPYfqGLq_og5jMV2XUQ,Chad E.,"St. Petersburg, FL",25,186,8
7eOZUf-J9KdC_ARxQi-EUg,Julia J.,"Columbus, OH",102,168,54
0Dr7WsXVrtDd831KgOZNKA,gary g.,"Issaquah, WA",318,20,57
DhHru6s6JY8DHMPdmbRqwg,Austin W.,"Chicago, IL",7,847,8
aoTHGC9WrMnUydSGCebBJg,David G.,"Orland Park, IL",31,2,1
83-tioVTTqTR2yjVb9SLsw,Stania A.,"Wellington, FL",7,65,15
3uGvjqANv1tz2kFroQ8_WQ,Jessica R.,"Newton, MA",15,388,2
nLubA27Qo3EgTnIEOgVvbQ,Denyce M.,"Chicago, IL",222,635,1678
Tyb_FnUv3L0LqsYyL8FIAQ,Elvi T.,"San Francisco, CA",573,1118,1117
8YV5I01YI5NIw85tUBElVg,Ilona P.,"Cleveland, OH",125,56,364
z-ac4aPTz64j2ehH7qfqcg,AJ M.,"Chicago, IL",502,91,1442
q_YH1ece87AMR_jkixUCQA,Candace M.,"Long Beach, CA",68,186,30
krV6645J4kcbThMdo9xLRA,Batool H.,"Miami, FL",38,123,137
nuaJLyZGAsKj9dzDmAW2Cw,Ross H.,"New York, NY",104,314,421
q3AejOqZH5AfXwdVylx0fQ,Mary D.,"Chicago, IL",120,170,35
oYKgBGZcvMiejchBS6Rcgw,Shelby E.,"Chicago, IL",137,295,109
NPppl-3lcFeZ2lLVZyEnJw,Lisa L.,"Honolulu, HI",97,110,128
cVwV54eOdPpP5v3qoYVDLg,Alice L.,"Los Angeles, CA",4,217,5
eICzKICrFiWC69bzZ3Dopw,Vanessa P.,"Chicago, IL",35,13,43
kzH_InisEVkcQ0zgRvupHg,Laurice S.,"Chicago, IL",97,188,211
Mcrnc7O4-yyPyu0iLbb8aA,Jeff H.,"San Francisco, CA",1280,587,139
Mdh2fjrAyuLcLaWV3aur1g,Mary S.,"Deerfield, IL",123,7,198
LII6VfhAvxtGcjZooiIkDQ,Lauren L.,"Denver, CO",152,154,1
Ns-Toil0UYy72Qj2amPpNQ,Amber R.,"Chicago, IL",49,203,14
wEiPwLZs9cSbZmufqUqSsQ,Shawn C.,"Milpitas, CA",11,120,1
sl2uZAYXO6hJtXXTVC6yKw,Christopher R.,"Chicago, IL",1,0,0
wn7XHrrdb1rxUC_eoFCJtw,Keo S.,"Atlanta, GA",353,136,579
n8kZb4cAu8AGaEMR4UCuqg,Emma C.,"Chicago, IL",113,88,405
MzzrYN14VFRG8CfbMDm78w,Mia N.,"Louisville, KY",96,219,578
cGtyYLQStwUhgxhAd_eBvg,Edward S.,"Seattle, WA",420,55,565
WTiHNJCOOGI_NvYrHa2RyQ,Jean J.,"Chicago, IL",57,158,88
PBi7mXgSc97uUjHIvK63Cw,Randa U.,"Schaumburg, IL",141,250,156
utubOC6HjpgqN6Judy7wzQ,Sarah P.,"Isle of Palms, SC",192,121,1541
